timestamp,gasUsed,gasPrice,blockNumber,pepe_price,eth_price
1727604719,0,7689536646,20855617,,
1727604743,0,24797829131,20855619,,
1727605667,0,16370937105,20855695,,
1727605859,0,6810338839,20855711,,
1727605955,0,18071879695,20855719,,
1727606015,0,11678797988,20855724,,
1727606027,0,6083646230,20855725,,
1727606291,0,7362409907,20855747,,
1727606375,0,6128439788,20855754,,
1727606699,0,8034538391,20855781,,
1727606747,0,9417768005,20855785,,
1727606771,0,16135590943,20855787,,
1727606867,0,5402035505,20855795,,
1727606999,0,7555674527,20855806,,
1727607443,0,5340192665,20855843,,
1727607467,0,5150800982,20855845,,
1727607803,0,5000000000,20855873,,
1727607851,0,5931508493,20855877,,
1727607851,0,19555337247,20855877,,
1727607863,0,5501607838,20855878,,
1727607875,0,5037532734,20855879,,
1727607911,0,7092106306,20855882,,
1727608007,0,7102562543,20855890,,
1727608055,0,5896389533,20855894,,
1727608103,0,12240399097,20855898,,
1727608295,0,5941056411,20855913,,
1727608415,0,7584091940,20855923,,
1727608427,0,8916829609,20855924,,
1727608811,0,11814343674,20855956,,
1727609435,0,5752516396,20856008,,
1727609879,0,40032115261,20856045,,
1727610095,0,10348524430,20856063,,
1727610587,0,6162869786,20856104,,
1727610599,0,10803049530,20856105,,
1727610611,0,7539047082,20856106,,
1727610635,0,16514498571,20856108,,
1727611331,0,7728794032,20856166,,
1727611379,0,5800116221,20856170,,
1727611583,0,7863527109,20856187,,
1727611607,0,7743966562,20856189,,
1727611727,0,6099173256,20856199,,
1727611943,0,27756832867,20856217,,
1727612015,0,6009986708,20856223,,
1727612111,0,6907157615,20856231,,
1727612147,0,14703590477,20856234,,
1727612183,0,11961011429,20856237,,
1727612495,0,31038944895,20856263,,
1727612507,0,8721820104,20856264,,
1727613371,0,5401567782,20856336,,
1727613503,0,5574757361,20856347,,
1727613707,0,5737778444,20856364,,
1727613863,0,7486759776,20856377,,
1727613863,0,7516759776,20856377,,
1727613995,0,24487981251,20856388,,
1727614115,0,6349827294,20856398,,
1727614151,0,8536178248,20856401,,
1727614319,0,8650290200,20856415,,
1727614343,0,14978610103,20856417,,
1727614367,0,9394892940,20856419,,
1727614391,0,8272702469,20856421,,
1727614403,0,39239579684,20856422,,
